Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Seismic Activity (Richter scale),Air Pressure (hPa),Soil Moisture (%),River Water Level (m),CO2 Levels (ppm),Lightning Strikes (count per hour),Disaster_Risk_Level
26.236203565420873,34.81063430708957,78.5117051207718,100.9054491313347,5.147962904552335,978.7271040554884,64.8256954077822,0.7759890945777492,444.05358478947915,36,High
43.52142919229749,63.35207579026865,74.09363972159994,119.50220957870584,7.248890963699877,994.6871318750043,17.238636210516624,3.7354505646225866,437.45660088262554,49,High
36.95981825434215,89.83566687011266,271.876374156311,37.57018481887485,6.841448368111431,1070.9094786404362,87.23945633548149,16.62491610179885,319.15083973267156,14,High
32.959754525911094,78.5779909127649,74.86385995485183,93.73111494104984,1.3850991422439631,968.0008772119784,61.311623906924154,15.335367126766714,484.51448098116,11,High
19.680559213273096,84.52489182891598,81.5849178385893,85.7618974715623,1.3432452276732652,1073.9299369624343,15.720388355695425,7.012853829142937,413.6944404313639,48,Medium
19.67983561008608,72.70266933685738,227.8194787253891,124.92455651824066,2.41356930970422,917.6268861953383,96.23380574812069,7.53621255548425,372.74510422713684,14,High
16.742508365045985,75.3821251614282,134.921952735162,135.91305907218907,3.249672537069335,1055.3596874417262,51.83654633353206,10.671088671071589,451.3077166990613,33,High
40.98528437324806,87.93565212522554,233.01316708655438,1.8235157216080211,3.6761002326763434,1069.5095266109472,7.289845187165501,0.004820093702690986,351.47309168032683,5,High
33.03345035229626,39.97344070873488,19.609847269315573,101.10298785881889,6.117274951500107,936.3635305674677,62.68329044150672,4.824886720760557,438.70196740926406,16,High
36.242177333881365,59.15399709145124,146.27135810201528,7.775369867959353,0.5101238894925186,986.06930647444,25.31989070128102,4.164636172164289,307.94224151444945,47,Medium
15.617534828874074,37.69675534556818,10.08408005498479,82.32879976160339,0.3120543380345975,933.0999549327312,80.36934518773025,5.009658934995269,467.8816075218544,48,Medium
44.097295564859834,99.01344063973175,18.795961036606357,43.14490935655173,3.527195066495181,1041.3208257988435,81.78220735661907,16.118116850668827,389.63416940426373,19,High
39.97327922401266,95.52474717492906,271.9312360033233,46.01648992832118,6.274473229241824,1007.0695536123313,97.89473558546618,5.593477130928863,427.33858287158836,8,High
21.370173320348286,23.154144909480472,41.773611335278545,52.94377551785349,1.7409180866083431,1027.0646693416643,50.186953102450374,3.830426441002963,344.2475639613367,4,Medium
20.454749016213018,76.44601380125508,159.72620468256514,93.19386735744152,5.773540331306266,939.2973933912423,45.495687972773716,10.085269215860631,435.4147425316896,22,Medium
20.502135295603015,94.01986539325327,123.32868078021197,50.10749485031538,2.338453241462695,942.3491724104839,75.34756054464806,17.31290072745464,454.4480551786553,32,High
